transition_id,from_grade,to_grade,minutes_since_transition,machine_speed_mpm,speed_change_rate,stock_consistency_pct,consistency_setpoint,steam_pressure_bar,steam_pressure_setpoint,headbox_pressure_kpa,headbox_pressure_setpoint,slice_opening_mm,slice_opening_setpoint,stock_flow_lpm,stock_flow_setpoint,basis_weight_target_gsm,basis_weight_actual_gsm,basis_weight_deviation_gsm
1,Grade_A_Light,Grade_D_Specialty,10,685.6,21.75,3.848,3.776,2.38,2.33,44.39,44.27,18.59,18.66,5307.5,5251.2,90,91.82,1.818
1,Grade_A_Light,Grade_D_Specialty,11,688.75,21.75,3.818,3.776,2.371,2.33,43.7,44.27,18.48,18.66,5268.8,5251.2,90,90.91,0.912
1,Grade_A_Light,Grade_D_Specialty,12,692.49,21.75,3.768,3.776,2.345,2.33,44.28,44.27,18.47,18.66,5285.5,5251.2,90,90.67,0.668
1,Grade_A_Light,Grade_D_Specialty,13,695.5,21.75,3.721,3.776,2.324,2.33,44.62,44.27,18.35,18.66,5292.9,5251.2,90,90.8,0.8
1,Grade_A_Light,Grade_D_Specialty,14,698.05,21.75,3.656,3.776,2.328,2.33,44.37,44.27,18.4,18.66,5289.3,5251.2,90,90.93,0.929
1,Grade_A_Light,Grade_D_Specialty,15,701.03,21.75,3.619,3.776,2.339,2.33,44.45,44.27,18.53,18.66,5306.4,5251.2,90,90.35,0.352
1,Grade_A_Light,Grade_D_Specialty,16,706.05,21.75,3.578,3.776,2.3,2.33,44.06,44.27,18.51,18.66,5266.4,5251.2,90,90.06,0.058
1,Grade_A_Light,Grade_D_Specialty,17,709.04,21.75,3.529,3.776,2.242,2.33,44.21,44.27,18.6,18.66,5314.8,5251.2,90,90.62,0.615
1,Grade_A_Light,Grade_D_Specialty,18,712.8,21.75,3.509,3.776,2.121,2.33,44.32,44.27,18.54,18.66,5298.1,5251.2,90,89.02,-0.978
1,Grade_A_Light,Grade_D_Specialty,19,715.9,21.75,3.594,3.776,2.147,2.33,44.25,44.27,18.47,18.66,5251.5,5251.2,90,89.34,-0.656
1,Grade_A_Light,Grade_D_Specialty,20,719.09,21.75,3.704,3.776,2.169,2.33,44.65,44.27,18.44,18.66,5221.9,5251.2,90,89.62,-0.379
1,Grade_A_Light,Grade_D_Specialty,21,721.48,21.75,3.82,3.776,2.133,2.33,44.94,44.27,18.39,18.66,5248.1,5251.2,90,90.58,0.583
1,Grade_A_Light,Grade_D_Specialty,22,724.56,21.75,3.812,3.776,2.109,2.33,45.05,44.27,18.38,18.66,5217.8,5251.2,90,89.84,-0.164
1,Grade_A_Light,Grade_D_Specialty,23,728.03,21.75,3.887,3.776,2.137,2.33,44.93,44.27,18.43,18.66,5253.8,5251.2,90,90.79,0.789
1,Grade_A_Light,Grade_D_Specialty,24,730.8,21.75,3.929,3.776,2.178,2.33,45.48,44.27,18.47,18.66,5222.9,5251.2,90,90.42,0.416
1,Grade_A_Light,Grade_D_Specialty,25,736.04,21.75,3.997,3.776,2.179,2.33,45.2,44.27,18.61,18.66,5198.1,5251.2,90,90.81,0.81
1,Grade_A_Light,Grade_D_Specialty,26,740.07,21.75,3.951,3.776,2.191,2.33,45.04,44.27,18.64,18.66,5238.6,5251.2,90,91.03,1.028
1,Grade_A_Light,Grade_D_Specialty,27,744.11,21.75,3.827,3.776,2.199,2.33,44.63,44.27,18.54,18.66,5217.9,5251.2,90,90.24,0.245
1,Grade_A_Light,Grade_D_Specialty,28,748.47,21.75,3.755,3.776,2.211,2.33,44.4,44.27,18.53,18.66,5246.3,5251.2,90,90.27,0.274
1,Grade_A_Light,Grade_D_Specialty,29,753.34,21.75,3.75,3.776,2.179,2.33,44.3,44.27,18.56,18.66,5251.2,5251.2,90,89.62,-0.379
1,Grade_A_Light,Grade_D_Specialty,30,756.71,21.75,3.764,3.776,2.342,2.33,45.04,44.27,18.5,18.66,5244.0,5251.2,90,89.8,-0.2
1,Grade_A_Light,Grade_D_Specialty,31,759.26,21.75,3.781,3.776,2.413,2.33,44.68,44.27,18.46,18.66,5191.0,5251.2,90,90.3,0.295
1,Grade_A_Light,Grade_D_Specialty,32,761.25,21.75,3.754,3.776,2.354,2.33,44.6,44.27,18.34,18.66,5160.4,5251.2,90,90.78,0.782
1,Grade_A_Light,Grade_D_Specialty,33,762.97,21.75,3.702,3.776,2.462,2.33,45.73,44.27,18.28,18.66,5160.3,5251.2,90,90.11,0.111
1,Grade_A_Light,Grade_D_Specialty,34,768.3,21.75,3.662,3.776,2.437,2.33,45.89,44.27,18.35,18.66,5160.0,5251.2,90,89.72,-0.282
1,Grade_A_Light,Grade_D_Specialty,35,769.92,21.75,3.664,3.776,2.412,2.33,45.82,44.27,18.34,18.66,5180.9,5251.2,90,90.12,0.115
1,Grade_A_Light,Grade_D_Specialty,36,773.36,21.75,3.695,3.776,2.409,2.33,45.67,44.27,18.31,18.66,5195.8,5251.2,90,89.87,-0.128
1,Grade_A_Light,Grade_D_Specialty,37,779.14,21.75,3.783,3.776,2.426,2.33,45.22,44.27,18.26,18.66,5231.1,5251.2,90,90.47,0.467
1,Grade_A_Light,Grade_D_Specialty,38,782.98,21.75,3.695,3.776,2.474,2.33,45.31,44.27,18.21,18.66,5221.4,5251.2,90,90.11,0.112
1,Grade_A_Light,Grade_D_Specialty,39,786.3,21.75,3.69,3.776,2.456,2.33,45.1,44.27,18.27,18.66,5261.1,5251.2,90,89.14,-0.856
1,Grade_A_Light,Grade_D_Specialty,40,789.28,21.75,3.709,3.776,2.464,2.33,44.87,44.27,18.16,18.66,5268.3,5251.2,90,90.73,0.733
1,Grade_A_Light,Grade_D_Specialty,41,790.7,21.75,3.761,3.776,2.433,2.33,44.79,44.27,18.13,18.66,5258.3,5251.2,90,90.73,0.726
1,Grade_A_Light,Grade_D_Specialty,42,794.66,21.75,3.849,3.776,2.496,2.33,44.91,44.27,18.32,18.66,5268.5,5251.2,90,91.09,1.093
1,Grade_A_Light,Grade_D_Specialty,43,797.57,21.75,3.844,3.776,2.44,2.33,45.24,44.27,18.26,18.66,5286.4,5251.2,90,90.66,0.659
1,Grade_A_Light,Grade_D_Specialty,44,802.24,21.75,3.873,3.776,2.541,2.33,45.44,44.27,18.17,18.66,5281.2,5251.2,90,90.59,0.587
1,Grade_A_Light,Grade_D_Specialty,45,804.88,21.75,3.937,3.776,2.562,2.33,45.04,44.27,18.14,18.66,5279.0,5251.2,90,90.86,0.863
1,Grade_A_Light,Grade_D_Specialty,46,807.33,21.75,3.933,3.776,2.613,2.33,45.21,44.27,18.01,18.66,5283.8,5251.2,90,91.38,1.375
1,Grade_A_Light,Grade_D_Specialty,47,811.09,21.75,3.995,3.776,2.466,2.33,44.88,44.27,18.12,18.66,5241.0,5251.2,90,91.81,1.808
1,Grade_A_Light,Grade_D_Specialty,48,814.8,21.75,4.011,3.776,2.421,2.33,45.14,44.27,18.26,18.66,5247.9,5251.2,90,91.4,1.403
1,Grade_A_Light,Grade_D_Specialty,49,818.38,21.75,3.94,3.776,2.405,2.33,44.99,44.27,18.33,18.66,5273.2,5251.2,90,90.65,0.653
1,Grade_A_Light,Grade_D_Specialty,50,821.5,21.75,3.994,3.776,2.354,2.33,44.59,44.27,18.38,18.66,5292.1,5251.2,90,91.22,1.217
1,Grade_A_Light,Grade_D_Specialty,51,826.35,21.75,4.011,3.776,2.403,2.33,44.78,44.27,18.59,18.66,5282.9,5251.2,90,90.66,0.663
1,Grade_A_Light,Grade_D_Specialty,52,831.54,21.75,3.96,3.776,2.404,2.33,45.25,44.27,18.47,18.66,5248.4,5251.2,90,90.5,0.499
1,Grade_A_Light,Grade_D_Specialty,53,833.85,21.75,3.96,3.776,2.429,2.33,45.27,44.27,18.38,18.66,5191.0,5251.2,90,90.98,0.979
1,Grade_A_Light,Grade_D_Specialty,54,836.54,21.75,3.961,3.776,2.463,2.33,45.22,44.27,18.47,18.66,5202.7,5251.2,90,91.23,1.232
1,Grade_A_Light,Grade_D_Specialty,55,838.96,21.75,3.93,3.776,2.464,2.33,45.45,44.27,18.45,18.66,5220.6,5251.2,90,90.86,0.856
1,Grade_A_Light,Grade_D_Specialty,56,842.08,21.75,3.953,3.776,2.334,2.33,44.82,44.27,18.35,18.66,5165.3,5251.2,90,90.45,0.449
1,Grade_A_Light,Grade_D_Specialty,57,846.24,21.75,3.917,3.776,2.346,2.33,45.2,44.27,18.49,18.66,5172.2,5251.2,90,91.06,1.056
1,Grade_A_Light,Grade_D_Specialty,58,849.62,21.75,3.859,3.776,2.309,2.33,44.51,44.27,18.44,18.66,5171.1,5251.2,90,90.5,0.504
1,Grade_A_Light,Grade_D_Specialty,59,854.94,21.75,3.78,3.776,2.334,2.33,44.07,44.27,18.5,18.66,5175.9,5251.2,90,89.26,-0.736
2,Grade_D_Specialty,Grade_B_Medium,0,829.18,4.11,3.16,3.057,5.696,5.43,28.24,28.76,18.61,18.98,4853.0,4727.4,70,72.19,2.193
2,Grade_D_Specialty,Grade_B_Medium,1,829.88,4.11,3.156,3.057,5.739,5.43,27.95,28.76,18.67,18.98,4839.8,4727.4,70,71.57,1.573
2,Grade_D_Specialty,Grade_B_Medium,2,829.5,4.11,3.065,3.057,5.59,5.43,27.59,28.76,18.66,18.98,4821.3,4727.4,70,71.42,1.419
2,Grade_D_Specialty,Grade_B_Medium,3,831.44,4.11,3.016,3.057,5.598,5.43,27.54,28.76,18.67,18.98,4816.5,4727.4,70,70.72,0.722
2,Grade_D_Specialty,Grade_B_Medium,4,831.65,4.11,3.074,3.057,5.516,5.43,27.67,28.76,18.91,18.98,4813.2,4727.4,70,71.14,1.14
2,Grade_D_Specialty,Grade_B_Medium,5,832.38,4.11,3.101,3.057,5.506,5.43,27.71,28.76,18.86,18.98,4815.4,4727.4,70,70.43,0.431
2,Grade_D_Specialty,Grade_B_Medium,6,833.79,4.11,3.15,3.057,5.522,5.43,27.7,28.76,18.9,18.98,4798.9,4727.4,70,71.26,1.256
2,Grade_D_Specialty,Grade_B_Medium,7,832.21,4.11,3.122,3.057,5.395,5.43,27.21,28.76,19.02,18.98,4814.1,4727.4,70,70.36,0.361
2,Grade_D_Specialty,Grade_B_Medium,8,831.03,4.11,2.966,3.057,5.365,5.43,28.33,28.76,19.05,18.98,4791.4,4727.4,70,70.01,0.006
2,Grade_D_Specialty,Grade_B_Medium,9,829.77,4.11,2.962,3.057,5.376,5.43,28.34,28.76,19.11,18.98,4793.7,4727.4,70,70.08,0.075
2,Grade_D_Specialty,Grade_B_Medium,10,829.56,4.11,3.018,3.057,5.479,5.43,27.99,28.76,19.02,18.98,4820.4,4727.4,70,70.22,0.219
2,Grade_D_Specialty,Grade_B_Medium,11,831.86,4.11,3.001,3.057,5.562,5.43,28.12,28.76,19.04,18.98,4850.2,4727.4,70,70.27,0.274
2,Grade_D_Specialty,Grade_B_Medium,12,831.35,4.11,2.985,3.057,5.579,5.43,27.56,28.76,19.08,18.98,4824.5,4727.4,70,70.68,0.676
2,Grade_D_Specialty,Grade_B_Medium,13,829.09,4.11,2.954,3.057,5.465,5.43,27.35,28.76,19.09,18.98,4810.3,4727.4,70,69.82,-0.181
2,Grade_D_Specialty,Grade_B_Medium,14,829.52,4.11,2.977,3.057,5.402,5.43,27.77,28.76,19.13,18.98,4811.6,4727.4,70,70.11,0.115
2,Grade_D_Specialty,Grade_B_Medium,15,830.49,4.11,3.088,3.057,5.399,5.43,27.75,28.76,19.06,18.98,4777.4,4727.4,70,69.89,-0.111
2,Grade_D_Specialty,Grade_B_Medium,16,830.04,4.11,3.081,3.057,5.422,5.43,27.87,28.76,18.99,18.98,4794.9,4727.4,70,70.62,0.615
2,Grade_D_Specialty,Grade_B_Medium,17,830.46,4.11,3.045,3.057,5.455,5.43,28.03,28.76,18.87,18.98,4786.5,4727.4,70,70.31,0.311
2,Grade_D_Specialty,Grade_B_Medium,18,830.0,4.11,3.056,3.057,5.366,5.43,28.64,28.76,18.98,18.98,4774.3,4727.4,70,70.25,0.249
2,Grade_D_Specialty,Grade_B_Medium,19,827.73,4.11,2.999,3.057,5.353,5.43,28.22,28.76,19.04,18.98,4819.5,4727.4,70,69.51,-0.486
2,Grade_D_Specialty,Grade_B_Medium,20,827.34,4.11,3.017,3.057,5.456,5.43,27.79,28.76,19.05,18.98,4855.8,4727.4,70,69.66,-0.344
2,Grade_D_Specialty,Grade_B_Medium,21,826.42,4.11,3.001,3.057,5.423,5.43,28.21,28.76,19.06,18.98,4798.6,4727.4,70,70.17,0.171
2,Grade_D_Specialty,Grade_B_Medium,22,826.34,4.11,3.071,3.057,5.386,5.43,28.01,28.76,19.1,18.98,4810.6,4727.4,70,70.42,0.421
2,Grade_D_Specialty,Grade_B_Medium,23,824.93,4.11,3.097,3.057,5.327,5.43,28.18,28.76,18.97,18.98,4813.4,4727.4,70,70.0,-0.003
2,Grade_D_Specialty,Grade_B_Medium,24,824.01,4.11,3.127,3.057,5.35,5.43,27.99,28.76,19.09,18.98,4793.8,4727.4,70,70.42,0.422
2,Grade_D_Specialty,Grade_B_Medium,25,824.95,4.11,3.088,3.057,5.385,5.43,27.85,28.76,19.05,18.98,4821.2,4727.4,70,69.97,-0.029
2,Grade_D_Specialty,Grade_B_Medium,26,822.67,4.11,3.165,3.057,5.541,5.43,27.78,28.76,18.88,18.98,4804.1,4727.4,70,70.77,0.772
2,Grade_D_Specialty,Grade_B_Medium,27,823.06,4.11,3.096,3.057,5.567,5.43,28.09,28.76,18.77,18.98,4813.9,4727.4,70,71.34,1.341
2,Grade_D_Specialty,Grade_B_Medium,28,823.88,4.11,3.075,3.057,5.548,5.43,28.4,28.76,18.66,18.98,4809.4,4727.4,70,70.34,0.344
2,Grade_D_Specialty,Grade_B_Medium,29,826.72,4.11,3.064,3.057,5.638,5.43,28.0,28.76,18.73,18.98,4809.2,4727.4,70,70.26,0.261
2,Grade_D_Specialty,Grade_B_Medium,30,827.55,4.11,3.124,3.057,5.602,5.43,27.4,28.76,18.76,18.98,4778.4,4727.4,70,70.57,0.566
2,Grade_D_Specialty,Grade_B_Medium,31,828.06,4.11,3.03,3.057,5.492,5.43,27.72,28.76,18.74,18.98,4709.2,4727.4,70,70.22,0.218
2,Grade_D_Specialty,Grade_B_Medium,32,829.01,4.11,2.998,3.057,5.408,5.43,28.16,28.76,18.79,18.98,4770.6,4727.4,70,69.96,-0.039
2,Grade_D_Specialty,Grade_B_Medium,33,830.09,4.11,2.997,3.057,5.458,5.43,28.47,28.76,18.91,18.98,4753.2,4727.4,70,69.72,-0.282
2,Grade_D_Specialty,Grade_B_Medium,34,830.13,4.11,3.043,3.057,5.546,5.43,28.32,28.76,18.88,18.98,4758.5,4727.4,70,70.14,0.136
2,Grade_D_Specialty,Grade_B_Medium,35,831.89,4.11,2.932,3.057,5.487,5.43,28.05,28.76,18.71,18.98,4731.3,4727.4,70,69.22,-0.78
2,Grade_D_Specialty,Grade_B_Medium,36,832.26,4.11,3.003,3.057,5.468,5.43,27.71,28.76,18.73,18.98,4757.2,4727.4,70,69.53,-0.47
2,Grade_D_Specialty,Grade_B_Medium,37,831.79,4.11,3.037,3.057,5.452,5.43,28.07,28.76,18.75,18.98,4771.7,4727.4,70,69.68,-0.318
2,Grade_D_Specialty,Grade_B_Medium,38,832.39,4.11,3.029,3.057,5.377,5.43,27.51,28.76,18.83,18.98,4758.5,4727.4,70,69.49,-0.514
2,Grade_D_Specialty,Grade_B_Medium,39,832.89,4.11,3.089,3.057,5.244,5.43,27.04,28.76,18.77,18.98,4791.9,4727.4,70,70.05,0.049
2,Grade_D_Specialty,Grade_B_Medium,40,834.43,4.11,3.028,3.057,5.192,5.43,27.39,28.76,18.8,18.98,4799.2,4727.4,70,69.56,-0.445
2,Grade_D_Specialty,Grade_B_Medium,41,835.38,4.11,3.039,3.057,5.258,5.43,27.85,28.76,18.68,18.98,4735.8,4727.4,70,69.99,-0.008
2,Grade_D_Specialty,Grade_B_Medium,42,837.42,4.11,2.991,3.057,5.16,5.43,27.98,28.76,18.79,18.98,4779.9,4727.4,70,69.55,-0.445
2,Grade_D_Specialty,Grade_B_Medium,43,837.59,4.11,2.954,3.057,5.182,5.43,27.94,28.76,18.73,18.98,4825.9,4727.4,70,69.96,-0.038
2,Grade_D_Specialty,Grade_B_Medium,44,839.57,4.11,2.92,3.057,5.253,5.43,28.28,28.76,18.79,18.98,4847.3,4727.4,70,69.58,-0.416
2,Grade_D_Specialty,Grade_B_Medium,45,841.07,4.11,2.968,3.057,5.288,5.43,27.61,28.76,18.81,18.98,4821.4,4727.4,70,69.11,-0.893
2,Grade_D_Specialty,Grade_B_Medium,46,843.71,4.11,3.066,3.057,5.381,5.43,27.83,28.76,18.94,18.98,4812.3,4727.4,70,70.21,0.208
2,Grade_D_Specialty,Grade_B_Medium,47,843.01,4.11,3.084,3.057,5.388,5.43,27.4,28.76,18.94,18.98,4801.8,4727.4,70,70.82,0.824
2,Grade_D_Specialty,Grade_B_Medium,48,844.7,4.11,3.082,3.057,5.407,5.43,27.55,28.76,18.92,18.98,4767.3,4727.4,70,70.09,0.086
2,Grade_D_Specialty,Grade_B_Medium,49,844.42,4.11,3.016,3.057,5.439,5.43,27.83,28.76,18.79,18.98,4760.3,4727.4,70,70.23,0.225
2,Grade_D_Specialty,Grade_B_Medium,50,846.31,4.11,3.072,3.057,5.441,5.43,27.58,28.76,18.72,18.98,4765.6,4727.4,70,70.26,0.261
2,Grade_D_Specialty,Grade_B_Medium,51,848.47,4.11,3.125,3.057,5.432,5.43,27.2,28.76,18.72,18.98,4767.2,4727.4,70,70.27,0.271
2,Grade_D_Specialty,Grade_B_Medium,52,848.4,4.11,3.13,3.057,5.402,5.43,27.11,28.76,18.77,18.98,4753.2,4727.4,70,70.37,0.368
2,Grade_D_Specialty,Grade_B_Medium,53,849.34,4.11,3.064,3.057,5.375,5.43,27.85,28.76,18.7,18.98,4697.7,4727.4,70,69.19,-0.811
2,Grade_D_Specialty,Grade_B_Medium,54,849.99,4.11,3.065,3.057,5.372,5.43,28.42,28.76,18.51,18.98,4710.6,4727.4,70,70.42,0.417
2,Grade_D_Specialty,Grade_B_Medium,55,849.25,4.11,3.045,3.057,5.332,5.43,28.1,28.76,18.53,18.98,4747.9,4727.4,70,70.43,0.43
2,Grade_D_Specialty,Grade_B_Medium,56,849.47,4.11,3.142,3.057,5.342,5.43,28.87,28.76,18.57,18.98,4749.2,4727.4,70,70.4,0.398
2,Grade_D_Specialty,Grade_B_Medium,57,853.9,4.11,3.174,3.057,5.306,5.43,29.24,28.76,18.58,18.98,4734.8,4727.4,70,70.66,0.659
2,Grade_D_Specialty,Grade_B_Medium,58,854.55,4.11,3.174,3.057,5.317,5.43,29.33,28.76,18.65,18.98,4685.6,4727.4,70,70.49,0.492
2,Grade_D_Specialty,Grade_B_Medium,59,853.99,4.11,3.088,3.057,5.323,5.43,29.31,28.76,18.63,18.98,4710.6,4727.4,70,69.46,-0.539
3,Grade_C_Heavy,Grade_B_Medium,0,646.61,7.97,2.806,2.863,3.574,3.685,43.2,43.78,17.15,17.14,4281.6,4234.3,70,70.18,0.177
3,Grade_C_Heavy,Grade_B_Medium,1,644.8,7.97,2.728,2.863,3.533,3.685,43.04,43.78,17.12,17.14,4277.9,4234.3,70,69.75,-0.253
3,Grade_C_Heavy,Grade_B_Medium,2,647.26,7.97,2.71,2.863,3.494,3.685,43.3,43.78,17.0,17.14,4283.2,4234.3,70,69.72,-0.275
3,Grade_C_Heavy,Grade_B_Medium,3,648.27,7.97,2.808,2.863,3.472,3.685,44.18,43.78,16.99,17.14,4246.4,4234.3,70,70.03,0.035
3,Grade_C_Heavy,Grade_B_Medium,4,648.18,7.97,2.777,2.863,3.512,3.685,44.36,43.78,16.96,17.14,4269.9,4234.3,70,70.37,0.365
3,Grade_C_Heavy,Grade_B_Medium,5,651.1,7.97,2.814,2.863,3.608,3.685,43.55,43.78,16.95,17.14,4244.7,4234.3,70,70.21,0.207
3,Grade_C_Heavy,Grade_B_Medium,6,651.61,7.97,2.811,2.863,3.727,3.685,43.5,43.78,17.0,17.14,4237.8,4234.3,70,70.33,0.332
3,Grade_C_Heavy,Grade_B_Medium,7,652.81,7.97,2.84,2.863,3.794,3.685,44.19,43.78,17.04,17.14,4252.2,4234.3,70,70.17,0.171
3,Grade_C_Heavy,Grade_B_Medium,8,653.9,7.97,2.89,2.863,3.837,3.685,44.23,43.78,17.12,17.14,4262.7,4234.3,70,71.29,1.294
3,Grade_C_Heavy,Grade_B_Medium,9,655.44,7.97,2.869,2.863,3.845,3.685,43.02,43.78,17.15,17.14,4168.6,4234.3,70,69.92,-0.081
3,Grade_C_Heavy,Grade_B_Medium,10,657.18,7.97,2.892,2.863,3.763,3.685,42.81,43.78,17.26,17.14,4163.1,4234.3,70,71.25,1.248
3,Grade_C_Heavy,Grade_B_Medium,11,658.37,7.97,2.909,2.863,3.853,3.685,42.96,43.78,17.17,17.14,4167.5,4234.3,70,70.66,0.657
3,Grade_C_Heavy,Grade_B_Medium,12,657.93,7.97,2.891,2.863,3.795,3.685,43.41,43.78,17.17,17.14,4167.1,4234.3,70,70.45,0.453
3,Grade_C_Heavy,Grade_B_Medium,13,659.39,7.97,2.918,2.863,3.727,3.685,43.03,43.78,17.25,17.14,4163.5,4234.3,70,69.98,-0.025
3,Grade_C_Heavy,Grade_B_Medium,14,661.12,7.97,2.935,2.863,3.631,3.685,43.2,43.78,17.3,17.14,4179.9,4234.3,70,70.64,0.643
3,Grade_C_Heavy,Grade_B_Medium,15,660.63,7.97,2.943,2.863,3.618,3.685,43.06,43.78,17.35,17.14,4222.3,4234.3,70,71.14,1.14
3,Grade_C_Heavy,Grade_B_Medium,16,663.4,7.97,2.928,2.863,3.644,3.685,43.44,43.78,17.34,17.14,4226.8,4234.3,70,70.78,0.782
3,Grade_C_Heavy,Grade_B_Medium,17,664.52,7.97,2.884,2.863,3.623,3.685,43.73,43.78,17.32,17.14,4236.1,4234.3,70,70.51,0.508
3,Grade_C_Heavy,Grade_B_Medium,18,665.27,7.97,2.919,2.863,3.65,3.685,43.24,43.78,17.42,17.14,4223.4,4234.3,70,69.85,-0.153
3,Grade_C_Heavy,Grade_B_Medium,19,665.21,7.97,2.861,2.863,3.656,3.685,43.18,43.78,17.36,17.14,4239.9,4234.3,70,70.31,0.311
3,Grade_C_Heavy,Grade_B_Medium,20,666.79,7.97,2.882,2.863,3.696,3.685,42.4,43.78,17.31,17.14,4184.9,4234.3,70,70.19,0.195
3,Grade_C_Heavy,Grade_B_Medium,21,667.97,7.97,2.932,2.863,3.766,3.685,42.62,43.78,17.25,17.14,4201.9,4234.3,70,70.36,0.363
3,Grade_C_Heavy,Grade_B_Medium,22,669.17,7.97,2.973,2.863,3.726,3.685,43.06,43.78,17.29,17.14,4181.3,4234.3,70,70.97,0.972
3,Grade_C_Heavy,Grade_B_Medium,23,671.2,7.97,2.965,2.863,3.677,3.685,42.79,43.78,17.24,17.14,4200.2,4234.3,70,70.2,0.198
3,Grade_C_Heavy,Grade_B_Medium,24,672.92,7.97,2.891,2.863,3.665,3.685,42.93,43.78,17.42,17.14,4169.1,4234.3,70,70.64,0.638
3,Grade_C_Heavy,Grade_B_Medium,25,674.3,7.97,2.908,2.863,3.674,3.685,43.19,43.78,17.38,17.14,4212.0,4234.3,70,70.14,0.145
3,Grade_C_Heavy,Grade_B_Medium,26,676.85,7.97,2.87,2.863,3.671,3.685,42.82,43.78,17.39,17.14,4250.4,4234.3,70,70.17,0.168
3,Grade_C_Heavy,Grade_B_Medium,27,677.81,7.97,2.814,2.863,3.659,3.685,42.28,43.78,17.29,17.14,4254.4,4234.3,70,70.35,0.354
3,Grade_C_Heavy,Grade_B_Medium,28,682.38,7.97,2.79,2.863,3.747,3.685,42.53,43.78,17.27,17.14,4263.2,4234.3,70,69.97,-0.033
3,Grade_C_Heavy,Grade_B_Medium,29,683.7,7.97,2.779,2.863,3.658,3.685,42.04,43.78,17.3,17.14,4253.4,4234.3,70,69.5,-0.501
3,Grade_C_Heavy,Grade_B_Medium,30,684.91,7.97,2.829,2.863,3.671,3.685,41.95,43.78,17.39,17.14,4291.0,4234.3,70,70.21,0.206
3,Grade_C_Heavy,Grade_B_Medium,31,687.27,7.97,2.895,2.863,3.74,3.685,42.38,43.78,17.41,17.14,4298.3,4234.3,70,70.08,0.083
3,Grade_C_Heavy,Grade_B_Medium,32,689.31,7.97,2.823,2.863,3.688,3.685,43.04,43.78,17.45,17.14,4329.1,4234.3,70,70.05,0.055
3,Grade_C_Heavy,Grade_B_Medium,33,689.12,7.97,2.816,2.863,3.694,3.685,43.14,43.78,17.51,17.14,4310.6,4234.3,70,70.21,0.212
3,Grade_C_Heavy,Grade_B_Medium,34,689.13,7.97,2.844,2.863,3.693,3.685,42.91,43.78,17.45,17.14,4298.3,4234.3,70,70.07,0.074
3,Grade_C_Heavy,Grade_B_Medium,35,692.45,7.97,2.842,2.863,3.678,3.685,42.16,43.78,17.35,17.14,4285.4,4234.3,70,69.82,-0.177
3,Grade_C_Heavy,Grade_B_Medium,36,695.3,7.97,2.836,2.863,3.756,3.685,42.34,43.78,17.33,17.14,4278.0,4234.3,70,70.15,0.147
3,Grade_C_Heavy,Grade_B_Medium,37,698.56,7.97,2.723,2.863,3.63,3.685,42.27,43.78,17.31,17.14,4290.9,4234.3,70,69.62,-0.378
3,Grade_C_Heavy,Grade_B_Medium,38,699.29,7.97,2.791,2.863,3.696,3.685,42.49,43.78,17.37,17.14,4292.1,4234.3,70,69.68,-0.318
3,Grade_C_Heavy,Grade_B_Medium,39,701.33,7.97,2.805,2.863,3.696,3.685,43.21,43.78,17.15,17.14,4250.8,4234.3,70,69.44,-0.564
